group Movement-of-Society-for-Peace
Movement-of-Society-for-Peace_g-11.txt 5.84771e-15
Movement-of-Society-for-Peace_g-9.txt 0.25
Movement-of-Society-for-Peace_g-46.txt 0.918547
Movement-of-Society-for-Peace_g-45.txt 5.69174e-12
Movement-of-Society-for-Peace_g-37.txt 0.994866
Movement-of-Society-for-Peace_g-38.txt 3.17539e-12
Movement-of-Society-for-Peace_g-41.txt 5.45935e-10
Movement-of-Society-for-Peace_g-44.txt 0.999994
Movement-of-Society-for-Peace_g-0.txt 3.21691e-09
Movement-of-Society-for-Peace_g-28.txt 1.47369e-13
Movement-of-Society-for-Peace_g-49.txt 1.21592e-08
Movement-of-Society-for-Peace_g-4.txt 1.0
Movement-of-Society-for-Peace_g-47.txt 1.03521e-16
Movement-of-Society-for-Peace_g-24.txt 1.93879e-14
Movement-of-Society-for-Peace_g-48.txt 1.21592e-08
Movement-of-Society-for-Peace_g-7.txt 0.325072
Movement-of-Society-for-Peace_g-26.txt 6.3855e-14
Movement-of-Society-for-Peace_g-39.txt 0.999999
Movement-of-Society-for-Peace_g-35.txt 2.00792e-18
Movement-of-Society-for-Peace_g-36.txt 3.17564e-14
Movement-of-Society-for-Peace_g-21.txt 2.24243e-17
Movement-of-Society-for-Peace_g-18.txt 7.02093e-08
Movement-of-Society-for-Peace_g-42.txt 3.91157e-16
Movement-of-Society-for-Peace_g-43.txt 0.385259
Movement-of-Society-for-Peace_g-32.txt 2.85881e-16
Movement-of-Society-for-Peace_g-29.txt 3.06393e-12
Movement-of-Society-for-Peace_g-14.txt 1.50936e-18
Movement-of-Society-for-Peace_g-19.txt 2.6055e-08
Movement-of-Society-for-Peace_g-17.txt 1.0
Movement-of-Society-for-Peace_g-13.txt 1.48348e-12
Movement-of-Society-for-Peace_g-5.txt 1.0
Movement-of-Society-for-Peace_g-50.txt 1.17915e-12
Movement-of-Society-for-Peace_g-6.txt 0.000975355
Movement-of-Society-for-Peace_g-10.txt 1.0
Movement-of-Society-for-Peace_g-1.txt 9.19128e-21
Movement-of-Society-for-Peace_g-40.txt 7.35738e-07
Movement-of-Society-for-Peace_g-30.txt 5.86627e-18
Movement-of-Society-for-Peace_g-2.txt 0.5
Movement-of-Society-for-Peace_g-31.txt 5.05638e-07
Movement-of-Society-for-Peace_g-16.txt 1.36088e-17
Movement-of-Society-for-Peace_g-23.txt 0.333333
Movement-of-Society-for-Peace_g-15.txt 6.25154e-05
Movement-of-Society-for-Peace_g-34.txt 6.45949e-09
Movement-of-Society-for-Peace_g-12.txt 1.04755e-12
Movement-of-Society-for-Peace_g-20.txt 2.54581e-10
Movement-of-Society-for-Peace_g-22.txt 1.0
Movement-of-Society-for-Peace_g-27.txt 1.0
group Movement-of-Society-for-Peace
Movement-of-Society-for-Peace_g-11.txt 8.30011e-12
Movement-of-Society-for-Peace_g-9.txt 0.25
Movement-of-Society-for-Peace_g-46.txt 0.998697
Movement-of-Society-for-Peace_g-45.txt 1.07333e-16
Movement-of-Society-for-Peace_g-37.txt 1.0
Movement-of-Society-for-Peace_g-38.txt 1.58324e-16
Movement-of-Society-for-Peace_g-41.txt 0.999973
Movement-of-Society-for-Peace_g-44.txt 1.0
Movement-of-Society-for-Peace_g-0.txt 0.999988
Movement-of-Society-for-Peace_g-28.txt 3.13715e-20
Movement-of-Society-for-Peace_g-49.txt 5.02688e-05
Movement-of-Society-for-Peace_g-4.txt 1.0
Movement-of-Society-for-Peace_g-47.txt 2.17946e-22
Movement-of-Society-for-Peace_g-24.txt 1.53283e-10
Movement-of-Society-for-Peace_g-48.txt 5.02688e-05
Movement-of-Society-for-Peace_g-7.txt 1.0
Movement-of-Society-for-Peace_g-26.txt 2.42366e-10
Movement-of-Society-for-Peace_g-39.txt 1.0
Movement-of-Society-for-Peace_g-35.txt 4.39579e-27
Movement-of-Society-for-Peace_g-36.txt 9.95589e-20
Movement-of-Society-for-Peace_g-21.txt 1.20432e-20
Movement-of-Society-for-Peace_g-18.txt 0.976525
Movement-of-Society-for-Peace_g-42.txt 7.62064e-22
Movement-of-Society-for-Peace_g-43.txt 0.582285
Movement-of-Society-for-Peace_g-32.txt 0.5
Movement-of-Society-for-Peace_g-29.txt 1.31331e-14
Movement-of-Society-for-Peace_g-14.txt 5.42244e-23
Movement-of-Society-for-Peace_g-19.txt 0.000909121
Movement-of-Society-for-Peace_g-17.txt 1.0
Movement-of-Society-for-Peace_g-13.txt 1.26297e-19
Movement-of-Society-for-Peace_g-5.txt 0.00173724
Movement-of-Society-for-Peace_g-50.txt 0.498971
Movement-of-Society-for-Peace_g-6.txt 0.999957
Movement-of-Society-for-Peace_g-10.txt 1.0
Movement-of-Society-for-Peace_g-1.txt 2.42208e-24
Movement-of-Society-for-Peace_g-40.txt 1.40882e-09
Movement-of-Society-for-Peace_g-30.txt 2.07415e-23
Movement-of-Society-for-Peace_g-2.txt 0.500005
Movement-of-Society-for-Peace_g-31.txt 0.0692456
Movement-of-Society-for-Peace_g-16.txt 2.37275e-22
Movement-of-Society-for-Peace_g-23.txt 0.382326
Movement-of-Society-for-Peace_g-15.txt 1.0
Movement-of-Society-for-Peace_g-34.txt 4.60387e-11
Movement-of-Society-for-Peace_g-12.txt 2.8402e-18
Movement-of-Society-for-Peace_g-20.txt 1.89621e-12
Movement-of-Society-for-Peace_g-22.txt 1.0
Movement-of-Society-for-Peace_g-27.txt 1.0
group Movement-of-Society-for-Peace
Movement-of-Society-for-Peace_g-11.txt 4.59295e-06
Movement-of-Society-for-Peace_g-9.txt 0.5
Movement-of-Society-for-Peace_g-46.txt 1.0
Movement-of-Society-for-Peace_g-45.txt 2.20258e-16
Movement-of-Society-for-Peace_g-37.txt 0.999998
Movement-of-Society-for-Peace_g-38.txt 1.80042e-10
Movement-of-Society-for-Peace_g-41.txt 1.0
Movement-of-Society-for-Peace_g-44.txt 1.0
Movement-of-Society-for-Peace_g-0.txt 1.0
Movement-of-Society-for-Peace_g-28.txt 1.53026e-13
Movement-of-Society-for-Peace_g-49.txt 0.999363
Movement-of-Society-for-Peace_g-4.txt 1.0
Movement-of-Society-for-Peace_g-47.txt 7.33273e-21
Movement-of-Society-for-Peace_g-24.txt 1.84938e-11
Movement-of-Society-for-Peace_g-48.txt 0.999363
Movement-of-Society-for-Peace_g-7.txt 1.0
Movement-of-Society-for-Peace_g-26.txt 1.0
Movement-of-Society-for-Peace_g-39.txt 1.0
Movement-of-Society-for-Peace_g-35.txt 2.21813e-07
Movement-of-Society-for-Peace_g-36.txt 2.05743e-13
Movement-of-Society-for-Peace_g-21.txt 0.00136005
Movement-of-Society-for-Peace_g-18.txt 0.729683
Movement-of-Society-for-Peace_g-42.txt 1.40906e-16
Movement-of-Society-for-Peace_g-43.txt 0.501011
Movement-of-Society-for-Peace_g-32.txt 0.5
Movement-of-Society-for-Peace_g-29.txt 0.0256562
Movement-of-Society-for-Peace_g-14.txt 1.12017e-12
Movement-of-Society-for-Peace_g-19.txt 0.0210083
Movement-of-Society-for-Peace_g-17.txt 1.0
Movement-of-Society-for-Peace_g-13.txt 0.000423388
Movement-of-Society-for-Peace_g-5.txt 0.999994
Movement-of-Society-for-Peace_g-50.txt 0.5
Movement-of-Society-for-Peace_g-6.txt 0.982104
Movement-of-Society-for-Peace_g-10.txt 1.0
Movement-of-Society-for-Peace_g-1.txt 4.95299e-23
Movement-of-Society-for-Peace_g-40.txt 1.0
Movement-of-Society-for-Peace_g-30.txt 4.94982e-12
Movement-of-Society-for-Peace_g-2.txt 0.5
Movement-of-Society-for-Peace_g-31.txt 1.0
Movement-of-Society-for-Peace_g-16.txt 6.99732e-24
Movement-of-Society-for-Peace_g-23.txt 0.65957
Movement-of-Society-for-Peace_g-15.txt 1.0
Movement-of-Society-for-Peace_g-34.txt 0.00382455
Movement-of-Society-for-Peace_g-12.txt 8.16356e-17
Movement-of-Society-for-Peace_g-20.txt 2.60007e-09
Movement-of-Society-for-Peace_g-22.txt 1.0
Movement-of-Society-for-Peace_g-27.txt 1.0
group Movement-of-Society-for-Peace
Movement-of-Society-for-Peace_g-11.txt 8.63122e-16
Movement-of-Society-for-Peace_g-9.txt 0.000459197
Movement-of-Society-for-Peace_g-46.txt 1.0
Movement-of-Society-for-Peace_g-45.txt 1.32861e-12
Movement-of-Society-for-Peace_g-37.txt 1.0
Movement-of-Society-for-Peace_g-38.txt 1.08896e-13
Movement-of-Society-for-Peace_g-41.txt 1.0
Movement-of-Society-for-Peace_g-44.txt 1.0
Movement-of-Society-for-Peace_g-0.txt 1.00142e-11
Movement-of-Society-for-Peace_g-28.txt 6.02759e-19
