group Hezbollah
Hezbollah_g-592d2017-11-17.txt 0.999802
Hezbollah_g-155d2017-11-17.txt 0.999994
Hezbollah_g-557d2017-11-17.txt 0.00646094
Hezbollah_g-539d2017-11-17.txt 0.767271
Hezbollah_g-639d2017-11-17.txt 0.314963
Hezbollah_g-307d2017-11-17.txt 0.999993
Hezbollah_g-658d2017-11-17.txt 0.514317
Hezbollah_g-314d2017-11-17.txt 0.50145
Hezbollah_g-538d2017-11-17.txt 0.999988
Hezbollah_g-577d2017-11-17.txt 0.972163
Hezbollah_g-618d2017-11-17.txt 0.999979
Hezbollah_g-518d2017-11-17.txt 0.666841
Hezbollah_g-236d2017-11-17.txt 0.999887
Hezbollah_g-271d2017-11-17.txt 0.999988
Hezbollah_g-603d2017-11-17.txt 0.999988
Hezbollah_g-586d2017-11-17.txt 0.999988
Hezbollah_g-536d2017-11-17.txt 0.99981
Hezbollah_g-446d2017-11-17.txt 0.999986
Hezbollah_g-619d2017-11-17.txt 0.999952
Hezbollah_g-283d2017-11-17.txt 0.349844
Hezbollah_g-220d2017-11-17.txt 0.00260185
Hezbollah_g-66d2017-11-17.txt 0.191464
Hezbollah_g-403d2017-11-17.txt 0.999986
Hezbollah_g-207d2017-11-17.txt 0.9922
Hezbollah_g-447d2017-11-17.txt 0.499222
Hezbollah_g-45d2017-11-17.txt 0.999988
Hezbollah_g-609d2017-11-17.txt 0.243936
Hezbollah_g-370d2017-11-17.txt 0.999979
Hezbollah_g-653d2017-11-17.txt 0.43462
Hezbollah_g-341d2017-11-17.txt 0.809288
Hezbollah_g-46d2017-11-17.txt 0.749774
Hezbollah_g-512d2017-11-17.txt 0.711343
Hezbollah_g-448d2017-11-17.txt 0.999954
Hezbollah_g-296d2017-11-17.txt 0.209988
Hezbollah_g-507d2017-11-17.txt 0.33515
Hezbollah_g-596d2017-11-17.txt 0.335112
Hezbollah_g-237d2017-11-17.txt 0.999962
Hezbollah_g-233d2017-11-17.txt 0.999991
Hezbollah_g-240d2017-11-17.txt 0.331667
Hezbollah_g-458d2017-11-17.txt 0.19241
Hezbollah_g-608d2017-11-17.txt 0.999959
Hezbollah_g-187d2017-11-17.txt 0.999985
Hezbollah_g-386d2017-11-17.txt 0.991689
Hezbollah_g-154d2017-11-17.txt 0.999992
Hezbollah_g-544d2017-11-17.txt 0.999982
Hezbollah_g-383d2017-11-17.txt 0.999987
Hezbollah_g-640d2017-11-17.txt 0.000887395
Hezbollah_g-183d2010-12-06.txt 0.999989
Hezbollah_g-515d2017-11-17.txt 0.999364
Hezbollah_g-18d2017-11-17.txt 0.999985
Hezbollah_g-529d2017-11-17.txt 0.79911
Hezbollah_g-32d2017-11-17.txt 0.733099
Hezbollah_g-278d2017-11-17.txt 0.999977
Hezbollah_g-140d2011-01-26.txt 0.454379
Hezbollah_g-560d2008-06-22.txt 0.00145817
Hezbollah_g-14d2017-11-17.txt 0.997816
Hezbollah_g-620d2017-11-17.txt 0.999993
Hezbollah_g-49d2017-11-17.txt 0.000929818
Hezbollah_g-20d2017-11-17.txt 0.995028
Hezbollah_g-5d2017-11-17.txt 0.99998
