English Language Agnostic English, Logistic Regression fixed bug

Group ACLU, Accuracy: 0.1794871794871795
0 class (7.0/7.0/39.0): Precision=1.0,Recall=0.1794871794871795,F1-Measure=0.30434782608695654
1 class (32.0/0.0/0.0): Precision=0.0,Recall=NaN,F1-Measure=NaN

Group AEU, Accuracy: 0.5333333333333333
0 class (8.0/8.0/15.0): Precision=1.0,Recall=0.5333333333333333,F1-Measure=0.6956521739130436
1 class (7.0/0.0/0.0): Precision=0.0,Recall=NaN,F1-Measure=NaN

Group alqaeda, Accuracy: 0.9310344827586207
0 class (2.0/0.0/0.0): Precision=0.0,Recall=NaN,F1-Measure=NaN
1 class (27.0/27.0/29.0): Precision=1.0,Recall=0.9310344827586207,F1-Measure=0.9642857142857143

Group AndrewMurray, Accuracy: 1.0
0 class (1.0/1.0/1.0): Precision=1.0,Recall=1.0,F1-Measure=1.0
1 class (0.0/0.0/0.0): Precision=NaN,Recall=NaN,F1-Measure=NaN

Group aqis, Accuracy: 1.0
0 class (0.0/0.0/0.0): Precision=NaN,Recall=NaN,F1-Measure=NaN
1 class (6.0/6.0/6.0): Precision=1.0,Recall=1.0,F1-Measure=1.0

Group asl, Accuracy: 1.0
0 class (0.0/0.0/0.0): Precision=NaN,Recall=NaN,F1-Measure=NaN
1 class (7.0/7.0/7.0): Precision=1.0,Recall=1.0,F1-Measure=1.0

Group ast, Accuracy: 1.0
0 class (0.0/0.0/0.0): Precision=NaN,Recall=NaN,F1-Measure=NaN
1 class (6.0/6.0/6.0): Precision=1.0,Recall=1.0,F1-Measure=1.0

Group Bahai, Accuracy: 0.821917808219178
0 class (60.0/60.0/73.0): Precision=1.0,Recall=0.821917808219178,F1-Measure=0.9022556390977443
1 class (13.0/0.0/0.0): Precision=0.0,Recall=NaN,F1-Measure=NaN

Group boko-haram, Accuracy: 0.9411764705882353
0 class (1.0/0.0/0.0): Precision=0.0,Recall=NaN,F1-Measure=NaN
1 class (16.0/16.0/17.0): Precision=1.0,Recall=0.9411764705882353,F1-Measure=0.9696969696969697

Group DorothyDay, Accuracy: 0.8772609819121447
0 class (679.0/679.0/774.0): Precision=1.0,Recall=0.8772609819121447,F1-Measure=0.9346180316586373
1 class (95.0/0.0/0.0): Precision=0.0,Recall=NaN,F1-Measure=NaN

Group Ghandi, Accuracy: 1.0
0 class (12.0/12.0/12.0): Precision=1.0,Recall=1.0,F1-Measure=1.0
1 class (0.0/0.0/0.0): Precision=NaN,Recall=NaN,F1-Measure=NaN

Group YV, Accuracy: 1.0
0 class (59.0/59.0/59.0): Precision=1.0,Recall=1.0,F1-Measure=1.0
1 class (0.0/0.0/0.0): Precision=NaN,Recall=NaN,F1-Measure=NaN

Group ISIS, Accuracy: 0.765625
0 class (15.0/0.0/0.0): Precision=0.0,Recall=NaN,F1-Measure=NaN
1 class (49.0/49.0/64.0): Precision=1.0,Recall=0.765625,F1-Measure=0.8672566371681416

Group JohnPiper, Accuracy: 1.0
0 class (579.0/579.0/579.0): Precision=1.0,Recall=1.0,F1-Measure=1.0
1 class (0.0/0.0/0.0): Precision=NaN,Recall=NaN,F1-Measure=NaN

Group LiberalJudaism, Accuracy: 0.9216867469879518
